PWGTP,AGEP,SOCP,WAGP,PUMA,STATE,
11,24,1191XX,50000,11107,06,
12,50,113071,133000,11109,06,
17,21,414010,12000,11109,06,
47,35,414010,70000,11109,06,
16,78,514041,0,11102,06,
14,64,472211,70000,11109,06,
20,26,172141,80000,11109,06,
21,57,411011,24000,07901,06,
20,46,519010,120000,08302,06,
49,52,172051,187000,07901,06,
8,27,411011,0,11109,06,
40,58,414010,85000,11108,06,
10,66,1721YY,100000,08303,06,
14,24,172141,90000,08303,06,
35,40,471011,74000,11107,06,
10,54,1191XX,250000,11102,06,
22,34,1721YY,140000,08303,06,
18,32,1721YY,130000,08303,06,
24,37,1721YY,200000,07901,06,
6,27,1191XX,10000,11109,06,
19,59,1191XX,145000,08303,06,
18,61,119041,140000,08303,06,
26,50,411011,0,07901,06,
10,31,19204X,7000,08303,06,
19,68,4740XX,80000,11107,06,
6,34,4990XX,0,08301,06,
29,51,1191XX,50000,07901,06,
20,38,1940YY,60000,08302,06,
17,88,514041,0,08301,06,
10,32,514041,71000,11107,06,
10,53,1721YY,166000,11102,06,
8,52,1191XX,140000,07901,06,
24,51,1191XX,70000,11108,06,
14,55,471011,80000,11108,06,
12,30,411011,33000,11108,06,
17,25,411011,32000,11108,06,
45,20,519020,4200,11103,06,
5,59,1191XX,56000,08302,06,
15,39,1191XX,275000,11102,06,
17,36,411011,0,11102,06,
22,28,1721YY,10000,07901,06,
20,46,1191XX,150000,08303,06,
6,50,1191XX,170000,07902,06,
13,44,172070,80000,11108,06,
26,37,519010,30000,11107,06,
9,31,471011,48000,07901,06,
13,26,414010,32000,08301,06,
22,21,1940YY,6500,08301,06,
46,48,4990XX,52000,07902,06,
7,71,414010,40000,11108,06,
21,35,113071,39000,08302,06,
8,43,1721YY,117000,11102,06,
35,49,471011,39500,08301,06,
13,29,414010,85000,11102,06,
18,41,1191XX,30000,07901,06,
12,49,411011,80000,07902,06,
18,42,514041,50000,08302,06,
26,59,1191XX,250000,11108,06,
11,58,471011,84000,07901,06,
11,73,1191XX,0,11109,06,
11,57,1721YY,0,08301,06,
16,25,414010,0,08301,06,
10,20,411011,9200,08303,06,
10,38,1191XX,145000,11109,06,
13,34,172141,165000,08301,06,
28,43,1721YY,95000,11109,06,
12,58,113051,0,11109,06,
4,62,172051,160000,08302,06,
8,24,411011,2000,11103,06,
19,52,1191XX,175000,11102,06,
21,53,119041,256000,08303,06,
16,27,49904X,40000,07901,06,
20,41,1191XX,85000,11102,06,
18,62,1191XX,222000,11108,06,
12,49,411011,50000,11108,06,
18,78,411011,0,11109,06,
13,45,411011,37900,11108,06,
2,73,471011,0,08302,06,
47,31,411011,12000,08303,06,
38,27,411011,9000,08303,06,
7,56,1721YY,225000,08302,06,
26,18,414010,680,11108,06,
11,54,414010,0,11109,06,
24,60,1191XX,218000,11102,06,
23,67,119041,0,11102,06,
53,66,411011,24000,07902,06,
23,40,1191XX,0,11108,06,
29,47,1191XX,0,08303,06,
8,27,414010,84000,11103,06,
12,22,411011,30000,11109,06,
17,68,1191XX,180000,11102,06,
10,31,113071,44000,11102,06,
15,61,1191XX,0,08303,06,
8,79,1191XX,42000,11107,06,
15,43,1721YY,330000,11109,06,
10,48,411011,58000,11103,06,
4,64,1191XX,200000,08302,06,
9,44,1721YY,180000,11108,06,
13,55,1721YY,189000,11109,06,
15,25,411011,16000,08303,06,
58,58,411011,16800,11107,06,
9,58,1191XX,36000,08302,06,
15,63,1721YY,175000,11109,06,
11,32,519010,15000,11109,06,
8,35,4990XX,47900,11109,06,
6,63,1721YY,140000,11103,06,
14,53,1191XX,95000,11102,06,
