"zipcode","year","occupation","estimate","margin_of_error","county"
"91377",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",99286,56930,"Ventura"
"91377",2015,"health_technologists_and_technicians",36290,49252,"Ventura"
"91377",2015,"healthcare_support_occupations",12941,2788,"Ventura"
"91377",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",52457,20617,"Ventura"
"91377",2015,"law_enforcement_workers_including_supervisors",86786,6198,"Ventura"
"91377",2015,"food_preparation_and_serving_related_occupations",12303,21026,"Ventura"
"91377",2015,"building_and_grounds_cleaning_and_maintenance_occupations",18006,18199,"Ventura"
"91377",2015,"personal_care_and_service_occupations",46786,26791,"Ventura"
"91377",2015,"sales_and_related_occupations",86804,22645,"Ventura"
"91377",2015,"office_and_administrative_support_occupations",22645,4336,"Ventura"
"91377",2015,"farming_fishing_and_forestry_occupations",NA,NA,"Ventura"
"91377",2015,"construction_and_extraction_occupations",43063,13555,"Ventura"
"91377",2015,"installation_maintenance_and_repair_occupations",10385,37805,"Ventura"
"91377",2015,"production_occupations",NA,NA,"Ventura"
"91377",2015,"transportation_occupations",108333,103659,"Ventura"
"91377",2015,"material_moving_occupations",NA,NA,"Ventura"
"93001",2015,"civilian_employed_population_16_years_and_over_with_earnings",31349,1508,"Ventura"
"93001",2015,"management_occupations",56023,13875,"Ventura"
"93001",2015,"business_and_financial_operations_occupations",58531,12805,"Ventura"
"93001",2015,"computer_and_mathematical_occupations",71985,32182,"Ventura"
"93001",2015,"architecture_and_engineering_occupations",72750,18330,"Ventura"
"93001",2015,"life_physical_and_social_science_occupations",61719,31476,"Ventura"
"93001",2015,"community_and_social_services_occupations",41958,16092,"Ventura"
"93001",2015,"legal_occupations",120444,52242,"Ventura"
"93001",2015,"education_training_and_library_occupations",46578,7291,"Ventura"
"93001",2015,"arts_design_entertainment_sports_and_media_occupations",46359,14717,"Ventura"
"93001",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",64849,16722,"Ventura"
"93001",2015,"health_technologists_and_technicians",36458,70434,"Ventura"
"93001",2015,"healthcare_support_occupations",25267,4041,"Ventura"
"93001",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",70556,84578,"Ventura"
"93001",2015,"law_enforcement_workers_including_supervisors",83393,25070,"Ventura"
"93001",2015,"food_preparation_and_serving_related_occupations",16383,4399,"Ventura"
"93001",2015,"building_and_grounds_cleaning_and_maintenance_occupations",16341,5853,"Ventura"
"93001",2015,"personal_care_and_service_occupations",11997,8216,"Ventura"
"93001",2015,"sales_and_related_occupations",25130,5717,"Ventura"
"93001",2015,"office_and_administrative_support_occupations",26388,4881,"Ventura"
"93001",2015,"farming_fishing_and_forestry_occupations",12474,10308,"Ventura"
"93001",2015,"construction_and_extraction_occupations",30448,3595,"Ventura"
"93001",2015,"installation_maintenance_and_repair_occupations",27593,8214,"Ventura"
"93001",2015,"production_occupations",34284,1814,"Ventura"
"93001",2015,"transportation_occupations",43049,17815,"Ventura"
"93001",2015,"material_moving_occupations",19356,5663,"Ventura"
"93003",2015,"civilian_employed_population_16_years_and_over_with_earnings",40631,2108,"Ventura"
"93003",2015,"management_occupations",74732,8888,"Ventura"
"93003",2015,"business_and_financial_operations_occupations",65948,6073,"Ventura"
"93003",2015,"computer_and_mathematical_occupations",85567,11026,"Ventura"
"93003",2015,"architecture_and_engineering_occupations",81123,5214,"Ventura"
"93003",2015,"life_physical_and_social_science_occupations",52656,7397,"Ventura"
"93003",2015,"community_and_social_services_occupations",50399,5588,"Ventura"
"93003",2015,"legal_occupations",104375,30470,"Ventura"
"93003",2015,"education_training_and_library_occupations",49943,5877,"Ventura"
"93003",2015,"arts_design_entertainment_sports_and_media_occupations",52386,10249,"Ventura"
"93003",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",87250,13248,"Ventura"
"93003",2015,"health_technologists_and_technicians",29702,11699,"Ventura"
"93003",2015,"healthcare_support_occupations",26120,1575,"Ventura"
"93003",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",50100,32573,"Ventura"
"93003",2015,"law_enforcement_workers_including_supervisors",88828,20380,"Ventura"
"93003",2015,"food_preparation_and_serving_related_occupations",16488,4290,"Ventura"
"93003",2015,"building_and_grounds_cleaning_and_maintenance_occupations",21875,6450,"Ventura"
"93003",2015,"personal_care_and_service_occupations",15990,5551,"Ventura"
"93003",2015,"sales_and_related_occupations",27981,4635,"Ventura"
"93003",2015,"office_and_administrative_support_occupations",32050,3156,"Ventura"
"93003",2015,"farming_fishing_and_forestry_occupations",26154,14204,"Ventura"
"93003",2015,"construction_and_extraction_occupations",45185,6077,"Ventura"
"93003",2015,"installation_maintenance_and_repair_occupations",50519,7583,"Ventura"
"93003",2015,"production_occupations",35694,3754,"Ventura"
"93003",2015,"transportation_occupations",41984,11584,"Ventura"
"93003",2015,"material_moving_occupations",24963,11681,"Ventura"
"93004",2015,"civilian_employed_population_16_years_and_over_with_earnings",42089,3539,"Ventura"
"93004",2015,"management_occupations",78931,7438,"Ventura"
"93004",2015,"business_and_financial_operations_occupations",51016,13396,"Ventura"
"93004",2015,"computer_and_mathematical_occupations",71842,13318,"Ventura"
"93004",2015,"architecture_and_engineering_occupations",101792,15656,"Ventura"
"93004",2015,"life_physical_and_social_science_occupations",75250,11786,"Ventura"
"93004",2015,"community_and_social_services_occupations",51133,15884,"Ventura"
"93004",2015,"legal_occupations",53578,32626,"Ventura"
"93004",2015,"education_training_and_library_occupations",57202,21499,"Ventura"
"93004",2015,"arts_design_entertainment_sports_and_media_occupations",45769,6782,"Ventura"
"93004",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",79000,3934,"Ventura"
"93004",2015,"health_technologists_and_technicians",41311,11844,"Ventura"
"93004",2015,"healthcare_support_occupations",25740,2564,"Ventura"
"93004",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",46528,57547,"Ventura"
"93004",2015,"law_enforcement_workers_including_supervisors",87976,22227,"Ventura"
"93004",2015,"food_preparation_and_serving_related_occupations",14518,2598,"Ventura"
"93004",2015,"building_and_grounds_cleaning_and_maintenance_occupations",23750,8448,"Ventura"
"93004",2015,"personal_care_and_service_occupations",16250,10621,"Ventura"
"93004",2015,"sales_and_related_occupations",31622,8218,"Ventura"
"93004",2015,"office_and_administrative_support_occupations",31024,6251,"Ventura"
"93004",2015,"farming_fishing_and_forestry_occupations",13864,10334,"Ventura"
"93004",2015,"construction_and_extraction_occupations",51172,15689,"Ventura"
"93004",2015,"installation_maintenance_and_repair_occupations",48698,26476,"Ventura"
"93004",2015,"production_occupations",44063,11446,"Ventura"
