"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
11,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2018,28,110000
10,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,52,2e+05
22,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2018,38,120000
15,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,56,35000
19,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2018,71,186000
11,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,59,0
31,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,53,51000
21,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","172051","Civil Engineers","Green",2018,57,10000
13,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,20,4000
15,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","519020","Crushing, Grinding, Polishing, Mixing, And Blending Workers","Fossil Fuel",2018,47,50000
17,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","519020","Crushing, Grinding, Polishing, Mixing, And Blending Workers","Fossil Fuel",2018,50,38000
14,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,69,10000
9,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2018,30,15000
27,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,29,65000
22,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2018,25,70000
23,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2018,22,4000
21,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2018,34,115000
10,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,25,25000
21,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2018,70,62000
9,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,26,35000
19,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","113071","Transportation, Storage, And Distribution Managers","Green",2018,35,30000
31,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2018,54,50000
28,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,50,45000
24,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2018,45,120000
9,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,36,0
14,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,54,155000
22,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","172141","Mechanical Engineers","Fossil Fuel",2018,26,66000
19,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2018,24,1500
18,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","518010","Power Plant Operators, Distributors, And Dispatchers","Green",2018,65,130000
11,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,62,17000
12,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,43,91000
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2018,45,160000
28,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,28,9000
16,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,44,0
15,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2018,55,28000
8,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2018,51,8000
