"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
2,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,85,3000
22,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,36,8000
25,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,51,115000
32,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,38,27000
24,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","113071","Transportation, Storage, And Distribution Managers","Green",2016,62,0
12,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172141","Mechanical Engineers","Fossil Fuel",2016,56,86000
25,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,59,40000
11,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","514041","Machinists","Green",2016,73,3300
19,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2016,56,40000
12,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","172070","Electrical And Electronics Engineers","Green",2016,53,102000
21,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,59,3000
21,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,73,0
22,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172070","Electrical And Electronics Engineers","Green",2016,55,2e+05
44,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2016,25,80000
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","472211","Sheet Metal Workers","Green",2016,46,82000
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,49,97000
2,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,19,6000
26,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,29,1100
10,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,29,45000
14,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,40,45000
10,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172141","Mechanical Engineers","Fossil Fuel",2016,41,0
15,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,19,30000
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,60,125000
20,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,48,110000
76,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,45,80000
15,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,46,80000
4,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","514041","Machinists","Green",2016,64,0
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,69,79000
21,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,34,110000
12,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,78,0
14,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2016,77,0
9,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,49,0
18,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,37,0
31,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","172070","Electrical And Electronics Engineers","Green",2016,54,130000
12,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,66,0
4,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,82,0
14,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,46,30000
22,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","172141","Mechanical Engineers","Fossil Fuel",2016,52,99000
37,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,24,55000
28,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,75,0
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,24,30000
52,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,44,22600
20,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","514041","Machinists","Green",2016,66,0
61,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","113051","Industrial Production Managers","Green",2016,33,32000
16,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","172070","Electrical And Electronics Engineers","Green",2016,28,77000
17,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,48,10000
25,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,56,50000
29,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,46,62000
52,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,25,12000
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,26,38000
14,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,45,23400
15,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","518010","Power Plant Operators, Distributors, And Dispatchers","Green",2016,48,55000
15,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,42,0
16,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,44,75000
13,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,65,0
13,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,31,71000
20,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,30,47500
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,50,60000
10,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,27,35000
34,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","514041","Machinists","Green",2016,31,72000
7,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,77,0
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","119041","Architectural And Engineering Managers","Green",2016,62,140000
26,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,60,224000
25,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,44,150000
14,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,25,50000
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","172051","Civil Engineers","Green",2016,39,86000
16,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","514041","Machinists","Green",2016,38,22000
21,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,19,86000
22,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,34,18000
8,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,54,150000
13,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,45,150000
47,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,42,35200
7,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,25,64000
13,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,52,102000
12,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,48,54000
26,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,53,240000
15,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,72,95000
19,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","475040","Underground Mining Machine Operators","Fossil Fuel",2016,43,1e+05
34,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","518090","Miscellaneous Plant And System Operators","Green",2016,29,125000
23,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","113071","Transportation, Storage, And Distribution Managers","Green",2016,32,52000
13,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,49,140000
17,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,31,37000
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,67,0
29,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,41,31000
14,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,64,0
26,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,42,0
13,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,52,60000
11,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,18,300
7,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","514041","Machinists","Green",2016,69,42000
9,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,49,0
11,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,59,88000
11,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,49,88000
14,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,52,26000
9,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,32,0
8,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172070","Electrical And Electronics Engineers","Green",2016,31,107000
13,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,42,0
24,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","172070","Electrical And Electronics Engineers","Green",2016,42,160000
12,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2016,52,98000
21,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,25,55000
10,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2016,46,45300
38,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,20,30000
21,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","172051","Civil Engineers","Green",2016,33,62000
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,39,80000
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2016,59,0
17,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","172051","Civil Engineers","Green",2016,62,105000
13,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,58,160000
23,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,51,78000
29,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,45,110000
21,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,29,24000
20,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721XX","Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers","Green",2016,50,242000
24,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,58,150000
22,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,47,20000
11,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2016,31,120000
18,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,66,72000
35,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,65,57000
13,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","472211","Sheet Metal Workers","Green",2016,30,34000
15,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,66,118000
13,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,36,0
9,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2016,30,110000
36,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,60,4800
16,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,28,30000
21,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","519020","Crushing, Grinding, Polishing, Mixing, And Blending Workers","Fossil Fuel",2016,42,27000
22,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","472211","Sheet Metal Workers","Green",2016,26,58000
12,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","119041","Architectural And Engineering Managers","Green",2016,78,0
18,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,54,10000
25,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,42,60000
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,51,190000
14,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","518010","Power Plant Operators, Distributors, And Dispatchers","Green",2016,24,65000
8,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,77,0
25,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,52,49000
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2016,58,110000
12,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,56,300
8,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,18,0
13,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,56,30000
45,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,43,25000
9,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,59,150000
19,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,57,40000
22,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","514041","Machinists","Green",2016,44,80000
14,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,53,65000
17,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","172070","Electrical And Electronics Engineers","Green",2016,43,86000
61,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,73,8200
7,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,24,12000
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,69,224000
22,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","514041","Machinists","Green",2016,58,1e+05
20,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,56,0
24,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,50,110000
21,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,50,157000
11,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,55,2e+05
15,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","172070","Electrical And Electronics Engineers","Green",2016,46,170000
12,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,56,57000
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,69,0
14,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172070","Electrical And Electronics Engineers","Green",2016,55,149000
31,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,49,0
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,63,61000
22,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,64,5400
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172051","Civil Engineers","Green",2016,45,90000
36,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,34,55000
46,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,48,0
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,23,40000
26,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2016,61,118000
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","514041","Machinists","Green",2016,37,50000
23,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,55,16000
11,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2016,55,24000
17,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","514041","Machinists","Green",2016,28,20000
14,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2016,20,0
14,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,42,132000
26,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,40,50000
31,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2016,52,126000
11,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172141","Mechanical Engineers","Fossil Fuel",2016,53,125000
12,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","472211","Sheet Metal Workers","Green",2016,62,0
19,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","119041","Architectural And Engineering Managers","Green",2016,40,190000
44,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,46,125000
9,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,78,17500
18,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,56,60000
20,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,59,80000
22,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2016,40,55000
10,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,32,32000
19,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,54,45000
5,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","Santa Barbara","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2016,31,8000
14,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,44,120000
11,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2016,75,0
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172051","Civil Engineers","Green",2016,53,156000
15,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","514041","Machinists","Green",2016,54,60000
15,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","519020","Crushing, Grinding, Polishing, Mixing, And Blending Workers","Fossil Fuel",2016,49,13000
11,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","519020","Crushing, Grinding, Polishing, Mixing, And Blending Workers","Fossil Fuel",2016,44,13000
12,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","514041","Machinists","Green",2016,45,70000
20,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2016,36,120000
8,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2016,41,12800
46,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","519010","Chemical Processing Machine Setters, Operators, And Tenders","Green",2016,51,63000
27,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2016,19,3000
